freq,psd_x,psd_y,psd_z,psd_xyz
26.3,121598.5,12159.8,6079.9,133758.3
26.4,123337.8,12333.8,6166.9,135671.6
26.5,125112.7,12511.3,6255.6,137624.0
26.6,126924.0,12692.4,6346.2,139616.4
26.7,128772.6,12877.3,6438.6,141649.9
26.8,130659.5,13066.0,6533.0,143725.5
26.9,132585.7,13258.6,6629.3,145844.3
27.0,134552.2,13455.2,6727.6,148007.4
27.1,136560.0,13656.0,6828.0,150216.0
27.2,138610.2,13861.0,6930.5,152471.2
27.3,140703.9,14070.4,7035.2,154774.3
27.4,142842.2,14284.2,7142.1,157126.4
27.5,145026.3,14502.6,7251.3,159528.9
27.6,147257.4,14725.7,7362.9,161983.2
27.7,149536.8,14953.7,7476.8,164490.4
27.8,151865.6,15186.6,7593.3,167052.1
27.9,154245.2,15424.5,7712.3,169669.7
28.0,156676.9,15667.7,7833.8,172344.6
28.1,159162.2,15916.2,7958.1,175078.4
28.2,161702.4,16170.2,8085.1,177872.6
28.3,164298.9,16429.9,8214.9,180728.8
28.4,166953.4,16695.3,8347.7,183648.7
28.5,169667.2,16966.7,8483.4,186634.0
28.6,172442.1,17244.2,8622.1,189686.3
28.7,175279.6,17528.0,8764.0,192807.5
28.8,178181.3,17818.1,8909.1,195999.4
28.9,181149.0,18114.9,9057.5,199263.9
29.0,184184.5,18418.4,9209.2,202602.9
29.1,187289.5,18728.9,9364.5,206018.4
29.2,190465.9,19046.6,9523.3,209512.5
29.3,193715.6,19371.6,9685.8,213087.1
29.4,197040.5,19704.0,9852.0,216744.5
29.5,200442.6,20044.3,10022.1,220486.9
29.6,203924.0,20392.4,10196.2,224316.4
29.7,207486.7,20748.7,10374.3,228235.4
29.8,211132.9,21113.3,10556.6,232246.1
29.9,214864.7,21486.5,10743.2,236351.1
30.0,218684.3,21868.4,10934.2,240552.8
30.1,222594.2,22259.4,11129.7,244853.6
30.2,226596.5,22659.6,11329.8,249256.1
30.3,230693.6,23069.4,11534.7,253762.9
30.4,234888.0,23488.8,11744.4,258376.7
30.5,239182.0,23918.2,11959.1,263100.2
30.6,243578.3,24357.8,12178.9,267936.1
30.7,248079.2,24807.9,12404.0,272887.1
30.8,252687.4,25268.7,12634.4,277956.2
30.9,257405.6,25740.6,12870.3,283146.1
31.0,262236.2,26223.6,13111.8,288459.8
31.1,267181.9,26718.2,13359.1,293900.1
31.2,272245.5,27224.6,13612.3,299470.1
31.3,277429.6,27743.0,13871.5,305172.6
31.4,282736.9,28273.7,14136.8,311010.6
31.5,288170.1,28817.0,14408.5,316987.1
31.6,293731.9,29373.2,14686.6,323105.1
31.7,299424.9,29942.5,14971.2,329367.4
31.8,305251.9,30525.2,15262.6,335777.1
31.9,311215.3,31121.5,15560.8,342336.9
32.0,317317.9,31731.8,15865.9,349049.6
32.1,323562.0,32356.2,16178.1,355918.2
32.2,329950.1,32995.0,16497.5,362945.1
32.3,336484.6,33648.5,16824.2,370133.0
32.4,343167.6,34316.8,17158.4,377484.4
32.5,350001.3,35000.1,17500.1,385001.5
32.6,356987.7,35698.8,17849.4,392686.5
32.7,364128.5,36412.9,18206.4,400541.4
32.8,371425.3,37142.5,18571.3,408567.9
32.9,378879.5,37888.0,18944.0,416767.5
33.0,386492.3,38649.2,19324.6,425141.5
33.1,394264.3,39426.4,19713.2,433690.8
33.2,402196.3,40219.6,20109.8,442415.9
33.3,410288.3,41028.8,20514.4,451317.2
33.4,418540.2,41854.0,20927.0,460394.3
33.5,426951.4,42695.1,21347.6,469646.5
33.6,435520.7,43552.1,21776.0,479072.7
33.7,444246.5,44424.7,22212.3,488671.2
33.8,453126.8,45312.7,22656.3,498439.5
33.9,462158.7,46215.9,23107.9,508374.6
34.0,471338.8,47133.9,23566.9,518472.7
34.1,480663.0,48066.3,24033.2,528729.4
34.2,490126.5,49012.6,24506.3,539139.1
34.3,499723.5,49972.3,24986.2,549695.8
34.4,509447.4,50944.7,25472.4,560392.2
34.5,519290.9,51929.1,25964.5,571219.9
34.6,529245.3,52924.5,26462.3,582169.9
34.7,539301.3,53930.1,26965.1,593231.4
34.8,549448.3,54944.8,27472.4,604393.1
34.9,559674.5,55967.4,27983.7,615641.9
35.0,569967.1,56996.7,28498.4,626963.8
35.1,580312.0,58031.2,29015.6,638343.2
35.2,590693.9,59069.4,29534.7,649763.3
35.3,601096.2,60109.6,30054.8,661205.8
35.4,611500.9,61150.1,30575.0,672651.0
35.5,621889.0,62188.9,31094.5,684077.9
35.6,632239.9,63224.0,31612.0,695463.9
35.7,642532.0,64253.2,32126.6,706785.1
35.8,652742.1,65274.2,32637.1,718016.3
35.9,662846.2,66284.6,33142.3,729130.8
36.0,672818.9,67281.9,33640.9,740100.8
36.1,682634.0,68263.4,34131.7,750897.4
36.2,692264.0,69226.4,34613.2,761490.4
36.3,701680.9,70168.1,35084.0,771849.0
36.4,710855.9,71085.6,35542.8,781941.5
36.5,719759.7,71976.0,35988.0,791735.7
36.6,728362.5,72836.2,36418.1,801198.7
36.7,736634.5,73663.4,36831.7,810297.9
36.8,744545.9,74454.6,37227.3,819000.5
36.9,752067.2,75206.7,37603.4,827274.0
37.0,759169.5,75917.0,37958.5,835086.5
37.1,765824.5,76582.5,38291.2,842407.0
37.2,772005.0,77200.5,38600.3,849205.5
37.3,777685.2,77768.5,38884.3,855453.7
37.4,782840.6,78284.1,39142.0,861124.6
37.5,787448.6,78744.9,39372.4,866193.5
37.6,791488.7,79148.9,39574.4,870637.6
37.7,794942.6,79494.3,39747.1,874436.8
37.8,797794.3,79779.4,39889.7,877573.7
37.9,800030.6,80003.1,40001.5,880033.7
38.0,801641.1,80164.1,40082.1,881805.2
38.1,802618.1,80261.8,40130.9,882879.9
38.2,802957.1,80295.7,40147.9,883252.8
38.3,802656.6,80265.7,40132.8,882922.2
38.4,801718.0,80171.8,40085.9,881889.9
38.5,800146.1,80014.6,40007.3,880160.7
38.6,797948.3,79794.8,39897.4,877743.1
38.7,795135.1,79513.5,39756.8,874648.6
38.8,791719.8,79172.0,39586.0,870891.8
38.9,787718.3,78771.8,39385.9,866490.2
39.0,783148.9,78314.9,39157.4,861463.8
39.1,778032.3,77803.2,38901.6,855835.5
39.2,772390.9,77239.1,38619.5,849629.9
39.3,766249.1,76624.9,38312.5,842874.1
39.4,759633.0,75963.3,37981.7,835596.3
39.5,752569.7,75257.0,37628.5,827826.7
39.6,745087.4,74508.7,37254.4,819596.1
39.7,737215.1,73721.5,36860.8,810936.6
39.8,728982.3,72898.2,36449.1,801880.5
39.9,720418.8,72041.9,36020.9,792460.6
40.0,711554.4,71155.4,35577.7,782709.9
40.1,702418.9,70241.9,35120.9,772660.8
40.2,693041.6,69304.2,34652.1,762345.8
40.3,683451.3,68345.1,34172.6,751796.4
40.4,673676.1,67367.6,33683.8,741043.7
40.5,663743.4,66374.3,33187.2,730117.7
40.6,653679.4,65367.9,32684.0,719047.4
40.7,643509.6,64351.0,32175.5,707860.5
40.8,633258.0,63325.8,31662.9,696583.8
40.9,622947.6,62294.8,31147.4,685242.4
41.0,612600.3,61260.0,30630.0,673860.4
41.1,602236.5,60223.6,30111.8,662460.1
41.2,591875.3,59187.5,29593.8,651062.9
41.3,581534.7,58153.5,29076.7,639688.2
41.4,571231.3,57123.1,28561.6,628354.5
41.5,560980.4,56098.0,28049.0,617078.5
41.6,550796.1,55079.6,27539.8,605875.7
41.7,540691.3,54069.1,27034.6,594760.4
41.8,530677.6,53067.8,26533.9,583745.4
41.9,520765.7,52076.6,26038.3,572842.3
42.0,510965.1,51096.5,25548.3,562061.6
42.1,501284.2,50128.4,25064.2,551412.6
42.2,491730.6,49173.1,24586.5,540903.6
42.3,482310.7,48231.1,24115.5,530541.7
42.4,473030.3,47303.0,23651.5,520333.3
42.5,463894.3,46389.4,23194.7,510283.7
42.6,454906.8,45490.7,22745.3,500397.5
42.7,446071.2,44607.1,22303.6,490678.3
42.8,437390.4,43739.0,21869.5,481129.4
42.9,428866.4,42886.6,21443.3,471753.0
43.0,420500.8,42050.1,21025.0,462550.9
43.1,412294.9,41229.5,20614.7,453524.4
43.2,404249.2,40424.9,20212.5,444674.1
43.3,396363.8,39636.4,19818.2,436000.2
43.4,388638.8,38863.9,19431.9,427502.6
43.5,381073.4,38107.3,19053.7,419180.7
43.6,373666.9,37366.7,18683.3,411033.6
43.7,366418.2,36641.8,18320.9,403060.1
43.8,359326.0,35932.6,17966.3,395258.6
43.9,352388.5,35238.9,17619.4,387627.4
44.0,345604.1,34560.4,17280.2,380164.5
44.1,338970.8,33897.1,16948.5,372867.9
44.2,332486.6,33248.7,16624.3,365735.2
44.3,326149.1,32614.9,16307.5,358764.0
44.4,319956.1,31995.6,15997.8,351951.7
44.5,313905.2,31390.5,15695.3,345295.7
44.6,307993.8,30799.4,15399.7,338793.1
44.7,302219.4,30221.9,15111.0,332441.3
44.8,296579.4,29657.9,14829.0,326237.4
44.9,291071.2,29107.1,14553.6,320178.3
45.0,285692.1,28569.2,14284.6,314261.3
45.1,280439.5,28043.9,14022.0,308483.4
45.2,275310.6,27531.1,13765.5,302841.7
45.3,270302.8,27030.3,13515.1,297333.1
45.4,265413.4,26541.3,13270.7,291954.7
45.5,260639.7,26064.0,13032.0,286703.7
45.6,255979.2,25597.9,12799.0,281577.1
45.7,251429.2,25142.9,12571.5,276572.1
45.8,246987.1,24698.7,12349.4,271685.8
45.9,242650.4,24265.0,12132.5,266915.4
46.0,238416.5,23841.6,11920.8,262258.1
46.1,234283.0,23428.3,11714.1,257711.3
46.2,230247.4,23024.7,11512.4,253272.2
46.3,226307.5,22630.7,11315.4,248938.2
46.4,222460.7,22246.1,11123.0,244706.7
46.5,218704.8,21870.5,10935.2,240575.3
46.6,215037.6,21503.8,10751.9,236541.3
46.7,211456.8,21145.7,10572.8,232602.4
46.8,207960.2,20796.0,10398.0,228756.3
46.9,204545.9,20454.6,10227.3,225000.5
47.0,201211.6,20121.2,10060.6,221332.8
47.1,197955.5,19795.5,9897.8,217751.0
47.2,194775.4,19477.5,9738.8,214253.0
47.3,191669.6,19167.0,9583.5,210836.5
47.4,188636.1,18863.6,9431.8,207499.7
47.5,185673.0,18567.3,9283.7,204240.3
47.6,182778.7,18277.9,9138.9,201056.6
47.7,179951.5,17995.1,8997.6,197946.6
47.8,177189.5,17718.9,8859.5,194908.4
47.9,174491.1,17449.1,8724.6,191940.3
48.0,171854.9,17185.5,8592.7,189040.4
